"title","negative","positive","sentiment_score"
"В Ірані затримали студентку, яка роздяглася на території університету на знак протесту",2,3,1
"Папа Римський Франциск не дозволив жінкам приймати сан диякона",6,0,-6
"Міноборони впроваджує стандарти НАТО щодо гендерної рівності у ЗСУ",0,3,3
"""Настав час для жінок"". Перша жінка-президентка Мексики Клаудія Шейнбаум склала присягу",6,13,7
"В Україні стартував пілотний проєкт з підготовки водійок вантажівок",0,1,1
"У Мексиці створять перше міністерство у справах жінок",0,1,1
"Алжирська боксерка Іман Хеліф виграла олімпійське ""золото"" попри гендерні суперечки",3,1,-2
"Уряд Вельсу вперше очолила жінка",2,0,-2
"Кожен другий ФОП у 2023 році створили жінки — Мінекономіки",1,1,0
"Жінки-водійки автобусів: в Україні запускають пілотний проєкт з навчання",2,1,-1
"США виділили українським бійчиням $7 млн на спорядження",2,5,3
"Трюдо офіційно підтвердив, що вперше в історії Канади Збройні Сили очолить жінка",2,3,1
"Австралія виділяє $600 млн проти домашнього насилля та стежитиме за інтернет-порно",2,2,0
"У Данії запроваджують військову службу для жінок",1,5,4
"Meta і Google обмежували інформацію про репродуктивне здоров'я — звіт",6,0,-6
"У Данії хочуть призивати жінок на строкову службу в армії для ґендерної рівності",5,2,-3
"""Є бойові професії, які були недоступні для жінок"": Анастасія Ненька про діяльність ІКЖЦ та гендерну політику",7,3,-4
"Понад 45 тисяч військовослужбовиць. В Україні зростає число жінок у ЗСУ",1,4,3
"У Данії зараз більше статуй міфічних звірів і коней, ніж скульптур жінок. В уряді хочуть виправити ситуацію",7,0,-7
"Рада прийняла за основу законопроєкт щодо посилення соцзахисту військових. Окремим пунктом виділено недопущення сексизму",0,2,2
"Капеланську службу Сухопутних військ очолила полковниця Лариса Полянська",1,0,-1
"Єдина на всю Миколаївську область: дівчина-вибухотехнік розповіла про свою небезпечну роботу. СУСПІЛЬНЕ | ЛЮДИ",2,0,-2
"Жінки керують у 41% українських медіа — опитування",1,3,2
"Жінки, які служать у ЗСУ, повинні мати рівні права та можливості із чоловіками — Калмикова",1,0,-1
"Українки зможуть пройти безплатне навчання у сфері креативних та IT-індустрій — Мінекономіки",2,10,8
"В українських органах прокуратури проведуть гендерний аудит — Офіс генпрокурора",2,1,-1
"В Ісландії планують масовий жіночий страйк, до якого приєднається прем'єр-міністерка",3,1,-2
"В Україні стало на 40% більше військовослужбовиць, ніж у 2021 році",1,0,-1
"Гендерний розрив в оплаті праці планують скоротити на 5% за 7 років — Мінекономіки",3,1,-2
"Сексистські заяви Арестовича: розпочалося досудове розслідування — Совсун",1,4,3
"Жінки із медосвітою, які з 1 жовтня мають стати на військовий облік, зможуть виїжджати за кордон — ДПСУ",1,1,0
"Арестович потрапив у скандал через сексистські висловлювання",3,3,0
"Ляшко: Жінкам з медосвітою потрібно стати на військовий облік до кінця 2026 року",1,1,0
"Маляр розповіла, чи потрібні Генштабу зараз на фронті жінки-медики",1,2,1
"Жінки, які мають медичну або фармацевтичну спеціальність, з 1 жовтня мають стати на військовий облік — депутат",3,1,-2
"Оксана служить в ЗСУ, а її чоловік дивиться за їхніми п’ятьма дітьми | Оксана Іванець | ВИДИМІ",2,1,-1
"Вперше в ЗСУ зʼявилась польова форма для жінок — Міноборони",1,0,-1
"Різниця між зарплатами чоловіків і жінок скоротилась за останні сім років — Свириденко",3,0,-3
"NASA визнали одним із найкращих роботодавців для жінок у США",1,3,2
"Працівники McDonald's розповіли BBC про сексуальні домагання, расизм та знущання",5,3,-2
"ООН: Для досягнення рівності між чоловіками та жінками знадобиться 286 років",5,3,-2
"""Укрзалізниця"" анонсувала тестування жіночих купе",3,2,-1
"Кожен другий малий бізнес в Україні відкривають жінки — Опендатабот",1,1,0
"""Кожен і кожна мають свою думку, як і що робити в цей день, 8 березня"" — Зеленський",4,3,-1
"""До гендерної рівності ще 300 років"" — генсек ООН",8,1,-7
"Петиція про забезпечення жінок у ЗСУ засобами гігієни набрала потрібну кількість голосів",2,5,3
"Уряд оприлюднив правила військового обліку для жінок-медиків",1,2,1
"Перші партії жіночої військової форми надійшли в кілька бригад — Міноборони",0,3,3
"Олена Зеленська отримала нагороду The Hillary Rodham Clinton Awards у США",1,10,9
"У НАТО шукають жінку на посаду Генсека. Христя Фріланд з Канади є однією з кандидатур — ЗМІ",3,0,-3
"""Літо теж належить нам"": в Іспанії закликають жінок не комплексувати через зовнішність",5,2,-3
"Президент запропонував Раді ратифікувати Стамбульську конвенцію",6,4,-2
"З 11 квітня в паспорті США з’явиться новий гендерний маркер — ""Х""",2,0,-2
"У Саудівській Аравії понад 28 тисяч жінок подалися на 30 вакансій машиністки поїзда",0,1,1
"Активістки Femen вимагали від Зеленського скасувати наказ про військовий облік жінок",2,4,2
"Уряд підготував застереження, які мають спростити ратифікацію Стамбульської конвенції",5,3,-2
"Військовий облік для жінок: юристка відповідає на головні запитання",5,2,-3
"У Грузії оштрафували ресторан, який відкрив вакансію з описом ""висока і худа"" жінка",6,1,-5
"Як військовий призов для жінок працює у світі",2,6,4
"""Вже завтра не треба бігти до військкомату"". У ЗСУ прокоментували військовий облік для жінок",7,2,-5
"Гендер у ЗСУ: чи стала армія доступнішою для жінок? Коментує експертка",3,1,-2
"Все не для дому. Amnesty International розробила товари для боротьби зі стереотипами про чоловіків",8,1,-7
"""Поруч лежав загиблий, а ми вже мали ховатися в укриття"" – інтерв'ю з учасницею війни на Донбасі",12,11,-1
"""Щоб виконувати якісну роботу, треба бути непомітною"". Інтерв'ю з жінкою-тілоохоронцем",3,8,5
"Нобелівська премія: організатори відмовились запроваджувати гендерні та етнічні квоти",1,11,10
"LEGO не маркуватиме іграшки ""для дівчаток"" та ""для хлопчиків"" через гендерні стереотипи",5,2,-3
"Співробітники Blue Origin звинуватили компанію у сексизмі та нехтуванні безпекою корабля New Shepard",1,0,-1
"Ісландія стане першою країною Європи з жіночою більшістю у парламенті",1,2,1
"Таліби звільнили жінок-співробітниць мерії Кабула",3,2,-1
"В Афганістані таліби виключили зі шкіл дівчат",4,2,-2
"Таліби перейменували міністерство жінок Афганістану на міністерство моралі",5,1,-4
"Талібан оголосив нові правила для студентів афганських університетів",1,1,0
"AppleToo. Співробітники техногіганта запустили кампанію проти дискримінації",3,0,-3
"Мінкульт направить до бібліотек понад 400 примірників книги з гендерними стереотипами",2,3,1
"Як досягти гендерної рівності у політиці. Пояснює урядова уповноважена",4,0,-4
"""М'яка сила у новій реальності"".В Україні вперше відбувся саміт перших леді та джентльменів",1,5,4
"Жінки Кабула провели першу акцію протесту проти політики талібів",3,4,1
"Чому жінки мовчать про пережите насилля і чому суспільство звинувачує жертв. Пояснюють психологині",8,0,-8
"Яким буде взуття у військовослужбовиць на параді Незалежності. Розповіла учасниця",1,1,0
"Володимира Талашка звинувачують у домаганнях. Історії постраждалих і позиція актора",8,9,1
"""Не пам'ятаю, не знаю"". Актор Талашко заперечив домагання до студенток театрального вишу",1,0,-1
"В Україні майже удвічі зросла кількість груп реагування на домашнє насильство",1,4,3
"Актора і викладача вишу звинуватили у домаганнях до студенток. Мінкульт ініціював розслідування",2,2,0
"Зеленський підписав закон про День захисників і захисниць України",0,12,12
"""Генеральська посада"". У ЗСУ жінка вперше очолила одне з командувань",0,2,2
"Шорти замість бікіні. Співачка Pink зголосилася заплатити штраф за норвезьких гандболісток",4,1,-3
"Харві Вайнштейна екстрадували до Лос-Анджелесу, йому загрожує 140 років в'язниці",2,1,-1
"Стереотип ""Джеймса Бонда"" або чому мовчать про насильство над чоловіками. Пояснює експертка",15,0,-15
"Китайська соцмережа WeChat видалила десятки ЛГБТ-акаунтів",1,0,-1
"Парад на підборах. Міноборони розробило новий зразок взуття для військовослужбовиць",2,1,-1
"Іспанія хоче криміналізувати вуличне домагання. Що за нього загрожуватиме",6,1,-5
"Чотири з-поміж 24-х режисерів: скільки жінок позмагаються за головну кінонагороду у Каннах",1,3,2
"""Камінг-аут — це вічний процес"". Історії ЛГБТ-українців, які відкрилися перед суспільством",7,1,-6
"Парад на підборах. Жінкам-військовослужбовицям замінили туфлі на черевики з нижчим каблуком",11,3,-8
"У Верховній раді зареєстрували законопроєкт про гендерну рівність в армії",1,0,-1
"Рада може ратифікувати Стамбульську конвенцію наступного політичного сезону — Мезенцева",1,2,1
"Десятки компаній зі США переказали $10 мільйонів політикам, які виступають проти ЛГБТ",7,6,-1
"В Іспанії чоловіки-вчителі на знак протесту прийшли на роботу у спідницях",5,3,-2
"Лувр уперше за 228 років його існування очолить жінка",2,9,7
"Замальовані декольте та плечі. Школу Флориди звинуватили у сексизмі за редагування фото дівчат",6,1,-5
"Видання The Washington Post вперше очолила жінка",2,2,0
"""Міс Світу"" 70 років. Як змінилися конкурси краси та навіщо вони потрібні",43,22,-21
"Жінки займають 41% керівних посад в Україні – дослідження",3,0,-3
"Французьке ток-шоу показало перевірку нареченої на цнотливість. Уряд відреагував",1,1,0
"Україна опустилася на 15 позицій в рейтингу гендерної рівності",1,0,-1
"Для досягнення глобальної гендерної рівності потрібно ще 136 років — звіт",7,1,-6
"Жінки Катару мають отримувати дозвіл від чоловіка на подорожі, освіту та лікування — звіт",5,0,-5
"Ведучий Fox News висміяв жінок-військових. Пентагон засудив його",4,0,-4
"У Японії створили рейтинг найбільш сексистських висловлювань",3,0,-3
"Папа Римський закликав боротися за права жінок",2,1,-1
"""Фемінізм у кожну хату"", ""Часікі не тікають, вони електронні"": фоторепортаж з Маршу жінок у Києві",6,1,-5
"""Без вас ми просто біологічні створіння"": Зеленський привітав жінок з 8 березня",2,6,4
"""У пандемії жіноче обличчя"": у Києві відбувся Марш жінок",2,0,-2
"8 березня: як з’явився Міжнародний жіночий день і що варто про нього знати",10,6,-4
"8 біографічних книжок про сильних жінок",7,5,-2
"Військові закликали відзначати 8 березня як день боротьби за права жінок",5,2,-3
"Говорили про гендерну рівність: у Сватівському міському народному домі відбувся жіночий форум",1,1,0
"Квіти, подорож, вечеря. КМІС провів опитування до 8 березня без згадки про захист прав",2,2,0
"Знижки та компліменти. Чому українці продовжують святкувати 8 березня, як за часів СРСР",3,1,-2
"Рада попередньо підтримала законопроєкт про боротьбу з дискримінацією у рекламі",3,0,-3
"Олімпійські ігри-2021: комітет у Токіо додасть до ради директорів жінок після сексистського скандалу",13,2,-11
"Міністерка з гендерної рівності Японії виступила проти збереження дівочих прізвищ після одруження",4,0,-4
"Уряд схвалив концепцію протидії домашньому насильству до 2025 року",1,2,1
"Оргкомітет олімпіади у Токіо очолила жінка",1,0,-1
"Чому в Україні необхідно вводити покарання за сексизм. Пояснює правозахисниця",4,1,-3
"Рада вирішила не карати депутата Рудика за сексизм",7,1,-6
"Світову організацію торгівлі вперше очолила жінка",0,1,1
"Комітет Ради рекомендував відсторонити нардепа від п’яти засідань за сексизм",11,1,-10
"Стопсексизм. Чи запровадить Рада штрафи за зневагу до статі",8,1,-7
"Прасування і прибирання. Як уряд Британії потрапив у скандал через сексистську рекламу",3,0,-3
"У Франції скасували штраф мерії Парижа за призначення занадто багатьох жінок на керівні посади",5,3,-2
"Папа Римський дозволив жінкам читати літургії",2,0,-2
"Суд у Пакистані визнав незаконною перевірку зґвалтованих жінок на незайманість",5,1,-4
"Аргентина остаточно легалізувала аборти",25,4,-21
"Аргентина зробила крок до легалізації абортів",22,1,-21
"""Проблема №2 після COVID-19"". Денісова заявляє про зростання випадків домашнього насильства",5,0,-5
"Через пандемію коронавірусу світ може повернутися до гендерних стереотипів 50-х років — ООН",7,0,-7
"В Україні зареєстрували понад 2,7 тисячі випадків домашнього насильства за рік",0,2,2
"Українка увійшла до списку найвпливовіших жінок року BBC",4,4,0
"Сучасні жінки віком від 30 років можуть ніколи не відчути рівної оплати праці — аналіз",1,2,1
"Домагання на роботі. Хто страждає більше та як захистити свою гідність і права",9,2,-7
"У Польщі футбольні фанати напали на учасників протестів проти заборони абортів",8,0,-8
"У Польщі десятки тисяч людей вийшли на протест проти заборони абортів. СУСПІЛЬНЕ | ВІДЕОНОВИНИ",9,0,-9
"Прем'єрка Фінляндії знялася для журналу у піджаку на голе тіло та опинилася у центрі скандалу",2,0,-2
"У Німеччині спалахнув мовний скандал через закон, написаний фемінітивами",1,0,-1
"Бангладеш запроваджує смертну кару за зґвалтування. Чому це не врятує жінок від насильства",10,4,-6
"Уряд Іспанії хоче дозволити робити аборти підліткам від 16 років без згоди батьків",7,0,-7
"16-річна дівчина на один день очолить уряд Фінляндії",1,0,-1
"У Франції троє чоловіків напали на дівчину за те, що вона була у спідниці",5,1,-4
"Біля Ради встановили лабіринт, який символізує шлях жінок у політику",2,1,-1
"ООН назвала найсерйознішу проблему світу у сфері прав людини",1,2,1
"""Штучний розподіл"". У чому проблема шкільних уроків праці та як відстоювати права учнів",6,0,-6
"Інженерка, лікарка, соціологиня. Мінекономіки визнало фемінітиви",0,2,2
"У Польщі громадський комітет вніс до Сейму проєкт виходу зі Стамбульської конвенції",1,0,-1
